  D  No listeners found for event browserPageLoaded
2026-01-27 16:43:11.651  2707-2711  com.bongkru.app         com.bongkru.app                      I  Compiler allocated 5087KB to compile void android.view.ViewRootImpl.performTraversals()
2026-01-27 16:43:12.985  2707-2707  cr_AwContents           com.bongkru.app                      W  WebView.destroy() called while WebView is still attached to window.
2026-01-27 16:43:12.988  2707-2707  WindowOnBackDispatcher  com.bongkru.app                      D  setTopOnBackInvokedCallback (unwrapped): null
2026-01-27 16:43:13.064  2707-2707  Capacitor/...wserPlugin com.bongkru.app                      V  Notifying listeners for event closeEvent
2026-01-27 16:43:13.156  2707-2707  Capacitor/Console       com.bongkru.app                      I  File: https://localhost/assets/index-BPXwqOkc.js - Line 2 - Msg: [OAuth] InAppBrowser closed
2026-01-27 16:43:13.162  2707-2707  Capacitor/Console       com.bongkru.app                      I  File: https://localhost/assets/index-BPXwqOkc.js - Line 2 - Msg: [SocialLogin] 카카오 결과: [object Object]
2026-01-27 16:43:13.178  2707-2707  Capacitor/Plugin        com.bongkru.app                      V  To native (Capacitor plugin): callbackId: 9028097, pluginId: InAppBrowser, methodName: removeListener
2026-01-27 16:43:13.182  2707-2707  Capacitor               com.bongkru.app                      V  callback: 9028097, pluginId: InAppBrowser, methodName: removeListener, methodData: {"eventName":"closeEvent","callbackId":"9028095"}
2026-01-27 16:43:13.182  2707-2707  Capacitor/Plugin        com.bongkru.app                      V  To native (Capacitor plugin): callbackId: 9028098, pluginId: InAppBrowser, methodName: removeListener
2026-01-27 16:43:13.182  2707-2707  Capacitor               com.bongkru.app                      V  callback: 9028098, pluginId: InAppBrowser, methodName: removeListener, methodData: {"eventName":"urlChangeEvent","callbackId":"9028094"}
2026-01-27 16:43:13.295  2707-2707  InsetsController        com.bongkru.app                      D  hide(ime())
2026-01-27 16:43:13.295  2707-2707  ImeTracker              com.bongkru.app                      I  com.bongkru.app:b89ebaa4: onCancelled at PHASE_CLIENT_ALREADY_HIDDEN
2026-01-27 16:43:13.829  2707-2707  Capacitor/Console       com.bongkru.app                      I  File: https://localhost/assets/index-BPXwqOkc.js - Line 2 - Msg: [SocialLogin] 네이버 로그인 버튼 클릭
2026-01-27 16:43:13.830  2707-2707  Capacitor/Console       com.bongkru.app                      I  File: https://localhost/assets/index-BPXwqOkc.js - Line 2 - Msg: [NaverOAuth] naverAuthorize called
2026-01-27 16:43:13.830  2707-2707  Capacitor/Console       com.bongkru.app                      I  File: https://localhost/assets/index-BPXwqOkc.js - Line 2 - Msg: [NaverOAuth] NAVER_CLIENT_ID: NOT SET
2026-01-27 16:43:13.834  2707-2707  Capacitor/Console       com.bongkru.app                      I  File: https://localhost/assets/index-BPXwqOkc.js - Line 2 - Msg: [NaverOAuth] isCapacitor: true
2026-01-27 16:43:13.834  2707-2707  Capacitor/Console       com.bongkru.app                      E  File: https://localhost/assets/index-BPXwqOkc.js - Line 2 - Msg: [NaverOAuth] VITE_NAVER_CLIENT_ID is not configured
2026-01-27 16:43:13.840  2707-2707  Capacitor/Console       com.bongkru.app                      E  File: https://localhost/assets/index-BPXwqOkc.js - Line 2 - Msg: [SocialLogin] 네이버 로그인 오류: Error: 네이버 로그인 설정이 올바르지 않습니다.
2026-01-27 16:43:15.527  2707-2707  Capacitor/Console       com.bongkru.app                      I  File: https://localhost/assets/index-BPXwqOkc.js - Line 2 - Msg: [SocialLogin] 네이버 로그인 버튼 클릭
2026-01-27 16:43:15.528  2707-2707  Capacitor/Console       com.bongkru.app                      I  File: https://localhost/assets/index-BPXwqOkc.js - Line 2 - Msg: [NaverOAuth] naverAuthorize called
2026-01-27 16:43:15.528  2707-2707  Capacitor/Console       com.bongkru.app                      I  File: https://localhost/assets/index-BPXwqOkc.js - Line 2 - Msg: [NaverOAuth] NAVER_CLIENT_ID: NOT SET
2026-01-27 16:43:15.528  2707-2707  Capacitor/Console       com.bongkru.app                      I  File: https://localhost/assets/index-BPXwqOkc.js - Line 2 - Msg: [NaverOAuth] isCapacitor: true
2026-01-27 16:43:15.533  2707-2707  Capacitor/Console       com.bongkru.app                      E  File: https://localhost/assets/index-BPXwqOkc.js - Line 2 - Msg: [NaverOAuth] VITE_NAVER_CLIENT_ID is not configured
2026-01-27 16:43:15.533  2707-2707  Capacitor/Console       com.bongkru.app                      E  File: https://localhost/assets/index-BPXwqOkc.js - Line 2 - Msg: [SocialLogin] 네이버 로그인 오류: Error: 네이버 로그인 설정이 올바르지 않습니다.
