2026-01-27 17:40:09.023 12739-12739 ImeTracker              com.bongkru.app                      I  com.bongkru.app:7ba7db76: onCancelled at PHASE_CLIENT_ALREADY_HIDDEN
2026-01-27 17:40:09.520 12739-12739 Capacitor/Console       com.bongkru.app                      I  File: https://localhost/assets/index-BPXwqOkc.js - Line 2 - Msg: [SocialLogin] 네이버 로그인 버튼 클릭
2026-01-27 17:40:09.520 12739-12739 Capacitor/Console       com.bongkru.app                      I  File: https://localhost/assets/index-BPXwqOkc.js - Line 2 - Msg: [NaverOAuth] naverAuthorize called
2026-01-27 17:40:09.520 12739-12739 Capacitor/Console       com.bongkru.app                      I  File: https://localhost/assets/index-BPXwqOkc.js - Line 2 - Msg: [NaverOAuth] NAVER_CLIENT_ID: NOT SET
2026-01-27 17:40:09.520 12739-12739 Capacitor/Console       com.bongkru.app                      I  File: https://localhost/assets/index-BPXwqOkc.js - Line 2 - Msg: [NaverOAuth] isCapacitor: true
2026-01-27 17:40:09.521 12739-12739 Capacitor/Console       com.bongkru.app                      E  File: https://localhost/assets/index-BPXwqOkc.js - Line 2 - Msg: [NaverOAuth] VITE_NAVER_CLIENT_ID is not configured
2026-01-27 17:40:09.522 12739-12739 Capacitor/Console       com.bongkru.app                      E  File: https://localhost/assets/index-BPXwqOkc.js - Line 2 - Msg: [SocialLogin] 네이버 로그인 오류: Error: 네이버 로그인 설정이 올바르지 않습니다.
2026-01-27 17:40:10.473 12739-12739 Capacitor/Console       com.bongkru.app                      I  File: https://localhost/assets/index-BPXwqOkc.js - Line 2 - Msg: [SocialLogin] 구글 로그인 버튼 클릭
2026-01-27 17:40:10.476 12739-12739 Capacitor/Console       com.bongkru.app                      I  File: https://localhost/assets/index-BPXwqOkc.js - Line 2 - Msg: [GoogleOAuth] googleAuthorize called
2026-01-27 17:40:10.477 12739-12739 Capacitor/Console       com.bongkru.app                      I  File: https://localhost/assets/index-BPXwqOkc.js - Line 2 - Msg: [GoogleOAuth] GOOGLE_CLIENT_ID: NOT SET
2026-01-27 17:40:10.477 12739-12739 Capacitor/Console       com.bongkru.app                      I  File: https://localhost/assets/index-BPXwqOkc.js - Line 2 - Msg: [GoogleOAuth] isCapacitor: true
2026-01-27 17:40:10.477 12739-12739 Capacitor/Console       com.bongkru.app                      E  File: https://localhost/assets/index-BPXwqOkc.js - Line 2 - Msg: [GoogleOAuth] VITE_GOOGLE_CLIENT_ID is not configured
2026-01-27 17:40:10.477 12739-12739 Capacitor/Console       com.bongkru.app                      E  File: https://localhost/assets/index-BPXwqOkc.js - Line 2 - Msg: [SocialLogin] 구글 로그인 오류: Error: 구글 로그인 설정이 올바르지 않습니다.
2026-01-27 17:40:20.736 12739-12739 Capacitor/Console       com.bongkru.app                      I  File: https://localhost/assets/index-BPXwqOkc.js - Line 2 - Msg: [SocialLogin] 네이버 로그인 버튼 클릭
2026-01-27 17:40:20.737 12739-12739 Capacitor/Console       com.bongkru.app                      I  File: https://localhost/assets/index-BPXwqOkc.js - Line 2 - Msg: [NaverOAuth] naverAuthorize called
2026-01-27 17:40:20.737 12739-12739 Capacitor/Console       com.bongkru.app                      I  File: https://localhost/assets/index-BPXwqOkc.js - Line 2 - Msg: [NaverOAuth] NAVER_CLIENT_ID: NOT SET
2026-01-27 17:40:20.737 12739-12739 Capacitor/Console       com.bongkru.app                      I  File: https://localhost/assets/index-BPXwqOkc.js - Line 2 - Msg: [NaverOAuth] isCapacitor: true
2026-01-27 17:40:20.737 12739-12739 Capacitor/Console       com.bongkru.app                      E  File: https://localhost/assets/index-BPXwqOkc.js - Line 2 - Msg: [NaverOAuth] VITE_NAVER_CLIENT_ID is not configured
2026-01-27 17:40:20.738 12739-12739 Capacitor/Console       com.bongkru.app                      E  File: https://localhost/assets/index-BPXwqOkc.js - Line 2 - Msg: [SocialLogin] 네이버 로그인 오류: Error: 네이버 로그인 설정이 올바르지 않습니다.
